"month","age","type_pill","thrombosis","users"
3,23,3,0,16541
4,23,3,0,14929
5,23,3,0,14825
6,23,3,0,12882
7,23,3,0,10065
8,23,3,1,9994
9,23,3,1,9377
10,23,3,0,8878
11,23,3,1,8793
12,23,3,0,7546
1,24,2,3,142990
2,24,2,3,140856
3,24,2,2,135559
4,24,2,5,117663
5,24,2,2,117203
6,24,2,2,102853
7,24,2,1,81143
8,24,2,0,80715
9,24,2,3,72142
10,24,2,1,65398
11,24,2,1,65070
12,24,2,3,55789
1,24,3,0,19999
2,24,3,0,19545
3,24,3,1,18955
4,24,3,0,17090
5,24,3,0,16988
6,24,3,0,14753
7,24,3,0,11473
8,24,3,0,11397
9,24,3,0,10671
10,24,3,0,10110
11,24,3,0,10033
12,24,3,0,8576
1,25,2,4,138796
2,25,2,5,136618
3,25,2,3,131446
4,25,2,1,114194
5,25,2,3,113739
6,25,2,3,99581
7,25,2,4,78166
8,25,2,1,77764
9,25,2,2,69446
10,25,2,2,62920
11,25,2,2,62630
12,25,2,1,53396
1,25,3,0,21300
2,25,3,1,20808
3,25,3,0,20218
4,25,3,1,18340
5,25,3,0,18244
6,25,3,0,15738
7,25,3,2,12058
8,25,3,0,11982
9,25,3,1,11194
10,25,3,0,10571
11,25,3,0,10490
12,25,3,0,8912
1,26,2,4,131537
2,26,2,5,129379
3,26,2,4,124224
4,26,2,1,107219
5,26,2,3,106799
6,26,2,1,93242
7,26,2,1,72674
8,26,2,4,72266
9,26,2,0,64625
10,26,2,1,58549
11,26,2,0,58258
12,26,2,1,49525
1,26,3,0,22692
2,26,3,0,22186
3,26,3,1,21567
4,26,3,0,19596
5,26,3,1,19481
6,26,3,0,16878
7,26,3,0,13056
8,26,3,3,12969
9,26,3,1,12107
10,26,3,1,11417
11,26,3,1,11332
12,26,3,0,9543
1,27,2,2,121928
2,27,2,6,119700
3,27,2,0,114586
4,27,2,2,97984
5,27,2,4,97577
6,27,2,8,84812
7,27,2,0,65452
8,27,2,0,65083
9,27,2,2,58161
